site_id;estrato;origem;evidencia_arquivo;status;tem_canal_titular;forma:email_lgpd_controlador;forma:email_grupo_controlador;forma:email_generico_rotulado;forma:subpagina_canal_titular;forma:subpagina_encarregado;forma:telefone_encarregado;forma:formulario_direitos;forma:plataforma_externa_dsr;forma:outro;canal_evid;canal_incerto;canal_b8_ref;finalidade;finalidade_evid;finalidade_incerto;direitos_titular;direitos_art18_I;direitos_art18_II;direitos_art18_III;direitos_art18_IV;direitos_art18_V;direitos_art18_VI;direitos_art18_VII;direitos_art18_VIII;direitos_art18_IX;direitos_count;direitos_evid;direitos_incerto;transf_internacional;transf_subtipo;transf_art17_I;transf_art17_II;transf_art17_III;transf_art17_IV;transf_art17_V;transf_art17_VI;transf_count;transf_evid;transf_incerto;obs
portalbnu.com.br;corp;b7;Rotulagem/evidencia/portalbnu.com.br.txt;NA;0;0;0;0;0;0;0;0;0;0;;nao;;0;;nao;NA;;;;;;;;;;0;;;NA;;;;;;;;0;;;O site não tem política de privacidade
porta80.com.br;corp;recollect;Rotulagem/evidencia/porta80.com.br.txt;NA;0;0;0;0;0;0;0;0;0;0;;nao;;NA;;;NA;;;;;;;;;;0;;;NA;;;;;;;;0;;;O site realmente não tem política de privacidade, mas o arquivo de evidência mostra erro na coleta
espaider.com.br;corp;b7;Rotulagem/evidencia/espaider.com.br.txt;text;1;0;1;0;0;0;1;0;0;1; FALE CONOSCO Após a leitura desta Política de Privacidade, caso o titular de dados tenha dúvidas ou precise contatar a Fácil sobre assuntos envolvendo os dados pessoais, o contato deve ser realizado pelos canais abaixo: Assunto: Segurança da Informação Endereço: R. Ângelo Dias nº 220,  Centro, Edificio George Buatim 4º Andar -Salas 404, 405 e 406 Blumenau – SC, CEP 89010-020 Central de relacionamento: +55 (47) 3328-2929 E-mail: encarregadodedados@facil.com.br Responsável: Departamento de Segurança da Informação ;nao;;1;"Finalidades para as quais os dados pessoais são utilizados: • Contato por e-mail para esclarecimento de dúvidas, envio de avisos, informativos, detalhes de negociações, configurações feitas em sistemas dos clientes, agendamento de reuniões, etc.; • Contato por telefone para urgências, dúvidas, atendimentos, agendamento de reuniões, etc.; • Para retornar ao interessado e responder eventuais dúvidas, estabelecer eventual negociação de seus produtos e serviços, emitir e enviar propostas e outros documentos com conteúdos a respeito de seus produtos e serviços";nao;1;0;1;1;1;0;0;1;0;0;4;"Considerações: • O titular dos dados pode solicitar à Fácil quais dados seus são armazenados por ela; • Caso o titular de dados identifique que algum dos seus dados pessoais está incorreto, deve solicitar a correção à Fácil. • Caso o titular de dados identifique que existem dados pessoais seus sendo tratados de forma desnecessária, em excesso ou em desconformidade com as legislações pertinentes (LGPD), deve solicitar à Fácil a regularização da situação. • O titular de dados pode solicitar à Fácil informações para constatar se houve compartilhamento de dados pessoais com outras empresas/pessoas/aplicações e se sim, quais. • O titular de dados pode solicitar à Fácil a eliminação dos dados, desde que constatado a não existência de risco legal e não haja legítimo interesse para tratamento. ";nao;1;transferencia;1;0;0;0;0;0;1;TRANSFERÊNCIA INTERNACIONAL DE DADOS PESSOAIS Para proporcionar funcionalidades avançadas, tais como resumos de documentos via ferramentas de Inteligência Artificial (IA) e reconhecimento de texto em imagens (OCR), é possível que dados pessoais sejam processados internacionalmente.;nao;
funerariasaojoao.com.br;corp;b7;Rotulagem/evidencia/funerariasaojoao.com.br.txt;text;0;0;0;0;0;0;0;0;0;0;;nao;;0;;nao;0;0;0;0;0;0;0;0;0;0;0;;nao;0;silencio;0;0;0;0;0;0;0;;;
davoiisp.com.br;corp;b7;Rotulagem/evidencia/davoiisp.com.br.txt;NA;0;0;0;0;0;0;0;0;0;0;;nao;;0;;nao;0;0;0;0;0;0;0;0;0;0;0;;nao;0;silencio;0;0;0;0;0;0;0;;nao;O site não tem aviso de privacidade
omnilink.com.br;corp;b7;Rotulagem/evidencia/omnilink.com.br.txt;text;1;1;0;0;0;0;0;0;0;0;O exercício de seus direitos poderá ser feito mediante o envio da solicitação para o e- mail:politica.privacidade@omnilink.com.br.;nao;;1;"4 . FINALIDADES DO TRATAMENTO DOS DADOS PESSOAIS Seus dados pessoais são tratados para as seguintes finalidades: (i) Identificar e autenticar os usuários de nossos ambientes virtuais; (ii) Cumprir as obrigações decorrentes dos contratos e acordos comerciais celebrados conosco; (iii) Entrar em contato com você para responder suas consultas, solicitações e dúvidas e enviar informações como parte de nossas atividades; (iv) Permitir que acionistas, investidores, instituições financeiras, imprensa e outros agentes relacionados à Omnilink tenham acesso aos demonstrativos de resultados, às emissões de debêntures e demais informações contábeis da empresa; (v) Verificar a proteção de nossos ambientes virtuais contra erros e fraudes; (vi) Realizar processos de recrutamento e seleção de colaboradores e manter banco de currículos de profissionais do mercado para participação em processos seletivos futuros; (vii) Cumprir obrigações legais e regulatórias; e (viii) Enviar nossas informações exclusivas sobre os lançamentos e as novidades da Omnilink.";nao;1;1;1;1;1;1;1;1;1;1;9;"9 . SEUS DIREITOS Garantimos que você possa exercer plenamente os seus direitos previstos na legislação de proteção de dados pessoais, de modo que você pode requerer, a qualquer momento: (i) A confirmação da existência de tratamento de seus dados pessoais; (ii) O acesso aos seus dados pessoais que armazenamos; (iii) A correção de dados pessoais incompletos, inexatos ou desatualizados; (iv) A anonimização, bloqueio ou eliminação de dados pessoais desnecessários, excessivos ou tratados em desconformidade com o disposto na LGPD, exceto nos casos em que a lei admitir a sua conservação; (v) A portabilidade dos dados pessoais a outro fornecedor de serviço ou produto, quando tecnicamente viável; (vi) A eliminação de dados pessoais que tenham sido tratados com o seu consentimento, exceto nos casos em que a lei admitir a sua conservação; (vii) A informação das entidades públicas e privadas com as quais compartilhamos seus dados; (viii) Informações sobre a possibilidade de não fornecer consentimento e sobre as consequências da negativa; e (ix) A revogação do consentimento, quando esta for a base legal para o tratamento de seus dados.";nao;0;silencio;0;0;0;0;0;0;0;;nao;
romabc.com.br;corp;b7;Rotulagem/evidencia/romabc.com.br.txt;NA;0;0;0;0;0;0;0;0;0;0;;nao;;0;;;0;0;0;0;0;0;0;0;0;0;0;;nao;0;silencio;0;0;0;0;0;0;0;;nao;O site não tem aviso de privacidade
seminovosmovida.com.br;corp;b7;Rotulagem/evidencia/seminovosmovida.com.br.txt;text;0;0;0;0;0;0;0;0;0;0;;nao;;0;;nao;0;;;;;;;;;;0;;nao;0;;;;;;;;0;;nao;A evidência não renderizou adequadamente a URL https://www.seminovosmovida.com.br/politica-privacidade
winco.com.br;corp;b7;Rotulagem/evidencia/winco.com.br.txt;text;0;0;0;0;0;0;0;0;0;0;Contato A Winco coloca-se a disposição para quaisquer esclarecimentos sobre nossa política de privacidade através da nossa página de contato;sim;FALSE;1;As informações pessoais que você incluir em algum formulário serão usadas apenas para o propósito exposto no formulário em questão, tais como contato e proposta de parceria ;nao;0;0;0;0;0;0;0;0;0;0;0;;nao;0;silencio;;;;;;;0;;nao;
dntbras.com.br;corp;b7;Rotulagem/evidencia/dntbras.com.br.txt;NA;NA;0;0;0;0;0;0;0;0;0;;;FALSE;NA;;;NA;;;;;;;;;;0;;;NA;;;;;;;;0;;;A evidência diz que o site não está publicado, mas eu acessei sem problemas
holeriteonline.com.br;corp;b7;Rotulagem/evidencia/holeriteonline.com.br.txt;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
cronoshare.com.br;corp;b7;Rotulagem/evidencia/cronoshare.com.br.txt;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
grupoip2.com.br;corp;b7;Rotulagem/evidencia/grupoip2.com.br.txt;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
uninove.br;corp;b7;Rotulagem/evidencia/uninove.br.txt;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
newstorerj.com.br;corp;b7;Rotulagem/evidencia/newstorerj.com.br.txt;;;;;;;;;;;;;;FALSE;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
seucondominio.com.br;corp;b7;Rotulagem/evidencia/seucondominio.com.br.txt;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
workbandalarga.com.br;corp;b7;Rotulagem/evidencia/workbandalarga.com.br.txt;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
estudeseg.com.br;corp;b7;Rotulagem/evidencia/estudeseg.com.br.txt;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
unc.br;corp;b7;Rotulagem/evidencia/unc.br.txt;;;;;;;;;;;;;;FALSE;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
telecomvirtual.com.br;corp;b7;Rotulagem/evidencia/telecomvirtual.com.br.txt;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
livralivro.com.br;corp;b7;Rotulagem/evidencia/livralivro.com.br.txt;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
fortatacadista.com.br;corp;b7;Rotulagem/evidencia/fortatacadista.com.br.txt;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
daypag.com.br;corp;b7;Rotulagem/evidencia/daypag.com.br.txt;;;;;;;;;;;;;;FALSE;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
mftelecom.net.br;corp;b7;Rotulagem/evidencia/mftelecom.net.br.txt;;;;;;;;;;;;;;FALSE;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
jgean.com.br;corp;b7;Rotulagem/evidencia/jgean.com.br.txt;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
maisconsultoria.com.br;corp;b7;Rotulagem/evidencia/maisconsultoria.com.br.txt;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
voetur.com.br;corp;b7;Rotulagem/evidencia/voetur.com.br.txt;;;;;;;;;;;;;;FALSE;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
acessodigital.com.br;corp;b7;Rotulagem/evidencia/acessodigital.com.br.txt;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
compraevolta.com.br;corp;b7;Rotulagem/evidencia/compraevolta.com.br.txt;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
serverconsignado.com.br;corp;b7;Rotulagem/evidencia/serverconsignado.com.br.txt;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
mimocrafts.com.br;corp;b7;Rotulagem/evidencia/mimocrafts.com.br.txt;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
alugoportemporada.com.br;corp;b7;Rotulagem/evidencia/alugoportemporada.com.br.txt;;;;;;;;;;;;;;FALSE;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
vitoriadaconquistanoticias.com.br;corp;b7;Rotulagem/evidencia/vitoriadaconquistanoticias.com.br.txt;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
iplaza.com.br;corp;b7;Rotulagem/evidencia/iplaza.com.br.txt;;;;;;;;;;;;;;FALSE;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
hisaleiloes.com.br;corp;b7;Rotulagem/evidencia/hisaleiloes.com.br.txt;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
ocorreio.com.br;corp;b7;Rotulagem/evidencia/ocorreio.com.br.txt;;;;;;;;;;;;;;FALSE;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
efoa.br;corp;recollect;Rotulagem/evidencia/efoa.br.txt;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
appclientefiel.com.br;corp;b7;Rotulagem/evidencia/appclientefiel.com.br.txt;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
propmark.com.br;corp;b7;Rotulagem/evidencia/propmark.com.br.txt;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
petlife.com.br;corp;b7;Rotulagem/evidencia/petlife.com.br.txt;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
onfly.com.br;corp;b7;Rotulagem/evidencia/onfly.com.br.txt;;;;;;;;;;;;;;TRUE;;;;;;;;;;;;;;0;;;;;;;;;;;0;;;
