site_id;estrato;status;campo;ancorado;chars_citacao;chars_evidencia;citacao
assessoriavip.com.br;corp;text;direitos_evid;SIM;152;31785;"Direitos do Usuário O interessado poderá exercer os direitos de acesso, retificação, supressão, 
 limitação do uso, portabilidade dos dados ou oposição ao uso"
assist.org.br;corp;text;canal_evid;SIM;56;38891;Encarregado(a): Ana Luísa V. Fabiano • dpo_lgpd@assist.org.br
assist.org.br;corp;text;finalidade_evid;SIM;230;38891;"Cadastro de 
Associado 
Permitir ao servidor 
público colaborador se 
associar à ASSIST 
juntamente com seus 
dependentes como por 
exemplo: pais, cônjuge 
e/ou"
assist.org.br;corp;text;direitos_evid;SIM;639;38891;"V. DIREITOS DOS TITULARES DOS DADOS PESSOAIS 
A ASSIST permite aos titulares exercerem os seus direitos especificados no Art.18 da LGPD, sem 
custos, nos prazos"
atakarejo.com.br;corp;text;canal_evid;SIM;239;107286;Encarregado pelo Tratamento de Dados Pessoais: E-mail do encarregado de dados: encarregadodedados@atakarejo.com.br Encarregado de Dados: Sylvio Sobreira Vieira 
atakarejo.com.br;corp;text;finalidade_evid;SIM;848;107286;Os itens a seguir descrevem as finalidades para as quais o ATAKADÃO ATAKAREJO coleta seus Dados Pessoais, e os diferentes tipos de Dados Pessoais que coletamos 
atakarejo.com.br;corp;text;direitos_evid;SIM;742;107286;"Os direitos do titular previstos a LGPD são: Confirmação da existência de tratamento: você pode nos perguntar se tratamos dados pessoais de sua titularidade; Ac"
atakarejo.com.br;corp;text;transf_evid;SIM;157;107286;Transferência internacional de dados Seus dados pessoais não serão transferidos para outros países, excetuando-se as hipóteses previstas na legislação vigente,
atribuna.com.br;corp;text;canal_evid;SIM;189;110165;Para exercer os direitos previstos na LGPD e aqui elencados, os quais não são absolutos, você poderá entrar em contato com o Grupo Tribuna, através do e-mail lg
atribuna.com.br;corp;text;finalidade_evid;SIM;514;110165;O Grupo Tribuna utilizará os dados pessoais das seguintes maneiras: para fins internos e gerenciais, tais como auditoria, análise de dados e pesquisas para apri
atribuna.com.br;corp;text;direitos_evid;SIM;517;110165;Direitos dos usuários (Titulares de dados) Saiba que como usuário (Titular de dados), você possui os seguintes direitos: a confirmação da existência de Tratamen
atribuna.com.br;corp;text;transf_evid;SIM;419;110165;Armazenamento seguro de dados pessoais As informações pessoais coletadas pelo Grupo Tribuna serão armazenadas em nossos servidores de dados internos, em serviço
attackshark.net.br;corp;text;finalidade_evid;SIM;514;128652;Como Usamos Seus Dados Pessoais De modo geral, usamos dados pessoais para fornecer, melhorar e desenvolver nossos produtos e serviços, para nos comunicarmos com
attackshark.net.br;corp;text;direitos_evid;SIM;170;128652;Você tem o direito de acessar, corrigir ou excluir os dados pessoais que coletamos. Você também tem o direito de restringir ou se opor, a qualquer momento, ao p
azzaparfums.com.br;corp;text;canal_evid;SIM;261;36892;Caso pretenda exercer qualquer um dos direitos previstos nesta Política de Privacidade e/ou nas Leis de Proteção de Dados, ou resolver quaisquer dúvidas relacio
azzaparfums.com.br;corp;text;finalidade_evid;SIM;363;36892;"Exemplos de como usamos os dados incluem: Viabilizar que você adquira produtos e/ou serviços na Loja; Para confirmar ou corrigir as informações que temos sobre "
azzaparfums.com.br;corp;text;direitos_evid;SIM;405;36892;"Direitos do Usuário Você pode, a qualquer momento, requerer: (i) confirmação de que seus Dados Pessoais estão sendo tratados; (ii) acesso aos seus Dados Pessoai"
azzaparfums.com.br;corp;text;transf_evid;SIM;271;36892;Transferências internacionais de Dados Dados Pessoais e informações de outras naturezas coletadas por nós podem ser transferidos ou acessados por entidades pert
belenus.com.br;corp;text;finalidade_evid;SIM;445;16262;SO DAS INFORMAÇÕES COLETADAS: Processamento de Pedidos: Utilizamos suas informações para processar suas ordens, fornecer produtos e serviços, e para comunicação
belenus.com.br;corp;text;direitos_evid;SIM;783;16262;"direitos do titular dos dados o seguinte: I – confirmação da existência de tratamento; II – acesso aos dados; III – correção de dados incompletos, inexatos ou d"
bigcupom.com.br;corp;text;canal_evid;SIM;88;19698;Contato O Usuário pode entrar em contato com o DPO através do e-mail dpo@bigcupom.com.br.
bigcupom.com.br;corp;text;finalidade_evid;SIM;237;19698;Para poder acessar conteúdos e receber material o promocial, o Big Cupom precisará que o Usuário forneça seu Nome, Email e Telefone. O Big Cupom enviará e-mail 
bigcupom.com.br;corp;text;direitos_evid;SIM;496;19698;Direito de confirmação e acesso: é o direito do usuário de obter do site a confirmação de que os dados pessoais que lhe digam respeito são ou não objeto de trat
bimper.com.br;corp;text;canal_evid;SIM;194;25004;CONTATO DO USUÁRIOS Caso o Usuário pretenda acessar, remover, corrigir, atualizar ou apagar conteúdo coletado, deverá entrar em contato com o nosso canal de com
bimper.com.br;corp;text;finalidade_evid;SIM;265;25004;COMUNICAÇÃO DA BIMPER COM O USUÁRIO Os Usuários estão cientes de que ao interagirem com o Site, principalmente ao oferecerem seus dados pessoais a alguma das at
blips.com.br;corp;text;canal_evid;SIM;231;86294;Você pode entrar em contato conosco, inclusive para solicitar a exclusão de seus dados, ou falar diretamente com nosso DPO, ou tratar de demais assuntos: Endere
blips.com.br;corp;text;finalidade_evid;SIM;429;86294;2. Finalidade do Tratamento de Dados Pessoais Utilizamos seus dados pessoais para as seguintes finalidades: Prestação de serviços: Criar e gerenciar sua conta n
blips.com.br;corp;text;direitos_evid;SIM;901;86294;Você tem os seguintes direitos em relação aos seus dados pessoais, em conformidade com a LGPD: Confirmação: Confirmar quais dados pessoais  estão sendo armazena
bradesco.com.br;corp;text;canal_evid;SIM;399;83926;"Parte dos direitos acima expostos poderá ser exercida  
diretamente por você, Usuário, a partir da gestão de informações 
em nossos sites ou APPs, enquanto outr"
bradesco.com.br;corp;text;finalidade_evid;SIM;409;83926;"Para execução dos serviços, produtos e demais contratos ou 
diligências preliminares: 
• para prestação dos serviços das empresas da Organização, 
como os servi"
bradesco.com.br;corp;text;direitos_evid;SIM;498;83926;"Em cumprimento da regulamentação aplicável, no que diz respeito ao 
tratamento de dados pessoais, a Organização respeita e garante, ao Usuário, 
a possibilidade"
celos.com.br;corp;text;canal_evid;SIM;304;73199;"A CELOS indica como encarregado o Sr. Marcos Alberto Durieux da Cunha e disponibiliza e-mail 
direto de contato para o atendimento dos titulares e da Autoridade"
celos.com.br;corp;text;finalidade_evid;SIM;362;73199;"Concessão de Empréstimos aos participantes e assistidos: a CELOS operacionaliza o contrato 
de empréstimos com o seu público-alvo e dentro deste escopo, coleta "
celos.com.br;corp;text;direitos_evid;SIM;356;73199;"Confirmação da existência de tratamento: os titulares poderão requisitar a confirmação a 
respeito da existência de seus dados nos cadastros ou armazenamentos r"
celos.com.br;corp;text;transf_evid;SIM;303;73199;"A CELOS também compartilha dados pessoais com prestadores de serviços essenciais para suas 
atividades de entidade fechada de previdência complementar e operado"
cenprotnacional.org.br;corp;text;canal_evid;SIM;356;48820;"CANAL PARA CONTATO COM O ENCARREGADO E ALTERAÇÕES NA 
POLÍTICA 
 
19. 
Em caso de dúvidas sobre esta Política, entre em contato conosco através do Portal 
do 
T"
cenprotnacional.org.br;corp;text;finalidade_evid;SIM;518;48820;"O IEPTB pode coletar dados de fornecedores ou prestadores de 
serviços contratados e de seus sócios, tais como: nome, número de 
celular, CPF, CNPJ, endereço e "
cenprotnacional.org.br;corp;text;direitos_evid;SIM;187;48820;"Direito de confirmação ao tratamento e direito de acesso (Art. 18, I e II da LGPD) 
Você poderá confirmar se tratamos seus dados pessoais, assim como poderá sol"
cenprotnacional.org.br;corp;text;transf_evid;SIM;942;48820;"9. 
Mantemos os seus dados em nossas bases de dados localizadas no território 
nacional, incluindo, mas não se restringindo, a servidores de computação em nuvem"
cgdw.com.br;corp;text;canal_evid;SIM;344;30256;DIREITOS DOS TITULARES Você pode sempre solicitar a confirmação de tratamento dos seus dados, a correção ou remoção/eliminação de seus dados e informações pesso
cgdw.com.br;corp;text;finalidade_evid;SIM;305;30256;Nós utilizamos as informações coletadas para propósitos específicos que incluem o fornecimento de serviços, agilidade na comunicação e divulgação de eventos e p
cgdw.com.br;corp;text;direitos_evid;SIM;344;30256;DIREITOS DOS TITULARES Você pode sempre solicitar a confirmação de tratamento dos seus dados, a correção ou remoção/eliminação de seus dados e informações pesso
cgdw.com.br;corp;text;transf_evid;SIM;118;30256;hospedagem do site e ferramentas ocorre em data centers fora do Brasil, com fornecedores mundiais deste tipo de serviço.
coelhinhadobrasil.com.br;corp;text;finalidade_evid;SIM;138;6806;Finalidade Os dados são utilizados para: Segurança e prevenção de fraudes Conformidade legal (ECA Digital) Melhoria da experiência do usuário
comper.com.br;corp;text;canal_evid;SIM;550;98860;SOLICITAÇOES, REQUERIMENTOS E DÚVIDAS (ENCARREGADO DE PROTEÇÃO DE DADOS) Se você tem algum questionamento, dúvida, requerimento, critica, oposição ou necessidad
comper.com.br;corp;text;finalidade_evid;SIM;353;98860;"A finalidade é requerer sua solicitação ou inscrição; Participação em sorteios e doações Nome, endereço, cidade, CEP, CPF, telefone, e-mail; Consentimento do ti"
comper.com.br;corp;text;direitos_evid;SIM;732;98860;Dentre eles, o acesso facilitado às informações sobre o tratamento de seus dados. Para isso, você pode a qualquer momento solicitar informações sobre quais dado
comper.com.br;corp;text;transf_evid;SIM;545;98860;Porém, para a adequada prestação de nossos serviços, os dados pessoais coletados podem ser transferidos para outros países como EUA e União Europeia, como é com
condominiodedicado.com.br;corp;text;canal_evid;SIM;309;15736;11. Encarregado de Dados (DPO) O encarregado de dados - também chamado de DPO (Data Protection Officer) - é o responsável indicado para atuar como canal de comu
condominiodedicado.com.br;corp;text;finalidade_evid;SIM;466;15736;seguintes finalidades:  Gestão de Condomínios: Administração de informações dos moradores, visitantes e funcionários, incluindo comunicação e gestão de reserva
condominiodedicado.com.br;corp;text;direitos_evid;SIM;563;15736;Confirmação e Acesso: Direito de confirmar a existência de tratamento e acessar os dados pessoais.  Correção: Direito de solicitar a correção de dados incomple
confiance.com.br;corp;text;canal_evid;SIM;214;16458;olicite os seus direitos Por meio deste formulário, você pode exercer seus direitos como titular de dados pessoais, conforme o art. 18 da Lei Geral de Proteção 
confiance.com.br;corp;text;finalidade_evid;SIM;559;16458;Os dados que coletamos são necessários para, por exemplo, efetuar um adequado enquadramento dos padrões de referência dos exames que você realiza (dados como a 
confiance.com.br;corp;text;direitos_evid;SIM;335;16458;A portabilidade dos dados é um direito assegurado pela Lei Geral de Proteção de Dados, contudo, cumpre informar que a transferência dos seus dados para outro pr
correspondentedinamico.com.br;corp;text;finalidade_evid;SIM;606;16232;4.1.1. Fornecimento de serviços: utilizamos os dados pessoais do Usuário para prestar os serviços oferecidos pelo Correspondente Dinâmico, incluindo a criação e
costaricacolchoes.com.br;corp;text;finalidade_evid;SIM;245;74747;"Com que finalidade utilizamos seus dados pessoais? ► Para a realização de trocas; ► Para emissão da Nota Fiscal; ► Para atendimento e solução de dúvidas; ► Para"
cplug.com.br;corp;text;canal_evid;SIM;351;88919;A LWSA possui como Encarregado de Dados (DPO) o escritório LIMA ≡ FEIGELSON ADVOGADOS, sob o responsável JEAN MARC WEINBERG SASSON, advogado, regularmente inscr
cplug.com.br;corp;text;finalidade_evid;SIM;575;88919;"Fornecer, personalizar e aprimorar nossos Serviços; Realizar operações internas, incluindo suporte aos nossos clientes, solução de problemas, análise de
dados, "
cplug.com.br;corp;text;direitos_evid;SIM;486;88919;"Os Titulares de dados pessoais têm alguns direitos no que se refere aos seus dados pessoais e podem
exercê-los entrando em contato conosco por meio do e-mail: p"
cplug.com.br;corp;text;transf_evid;SIM;202;88919;8. Transferências de dados pessoais para fora do Brasil Nós poderemos transferir alguns de seus dados pessoais a prestadores de serviços localizados no exterior
cupomverde.com.br;corp;text;canal_evid;SIM;460;33468;ENCARREGADO DE DADOS Se você tiver alguma dúvida sobre esta política de privacidade, sobre os dados que mantemos sobre você ou se gostaria de exercer um de seus
cupomverde.com.br;corp;text;finalidade_evid;SIM;204;33468;5. FINALIDADES DE TRATAMENTO DE DADOS Dado: Nome Finalidade: Autenticação e identificação do usuário. Dado: CPF Finalidade: Para salvar corretamente os cupons f
cupomverde.com.br;corp;text;direitos_evid;SIM;672;33468;SEUS DIREITOS Gostaríamos de ter certeza de que você está totalmente ciente de todos os seus direitos relacionados à privacidade e proteção de dados pessoais, p
cupomverde.com.br;corp;text;transf_evid;SIM;266;33468;9. TRANSFERÊNCIA INTERNACIONAL DE DADOS A plataforma Cupom Verde, bem como seu website, ficam hospedados na infraestrutura de datacenter da Amazon Web Services 
curriculointerativo.com.br;corp;text;canal_evid;SIM;111;101364;OLICITE SEU DIREITO AQUI Disponibilizamos este formulário para facilitar o exercício dos direitos dos titulares
curriculointerativo.com.br;corp;text;direitos_evid;SIM;396;101364;Confirmação da existência de tratamento Permite saber sobre a existência de algum tipo de tratamento de seus dados pessoais realizado pelo Currículo Interativo.
cursosheliocouto.com.br;corp;text;canal_evid;SIM;357;53715;4. Como entrar em contato conosco Para esclarecer quaisquer dúvidas sobre esta Política de Privacidade ou sobre os dados pessoais que tratamos, entre em contato
cursosheliocouto.com.br;corp;text;finalidade_evid;SIM;122;53715;Os dados fornecidos por nossos usuários são coletados com as seguintes finalidades: Envio de novidades e cupons de desconto.
cursosheliocouto.com.br;corp;text;direitos_evid;SIM;803;53715;3. Direitos do usuário. O usuário do site possui os seguintes direitos, conferidos pela Lei de Proteção de Dados Pessoais, Capítulo III, Dos Direitos do Titular
datacaixa.com.br;corp;text;canal_evid;SIM;389;20212;9. Como entrar em contato conosco Para esclarecer quaisquer dúvidas sobre esta Política de Privacidade ou sobre os dados pessoais que tratamos, entre em contato
datacaixa.com.br;corp;text;finalidade_evid;SIM;218;20212;s dados fornecidos por nossos usuários são coletados com as seguintes finalidades: – para que o usuário possa adquirir nossos produtos e serviços. – para que a 
datacaixa.com.br;corp;text;direitos_evid;SIM;550;20212;5. Direitos do usuário O usuário do site possui os seguintes direitos, conferidos pela Lei de Proteção de Dados Pessoais: – confirmação da existência de tratame
delupo.com.br;corp;text;finalidade_evid;SIM;672;51071;oleta de dados: Conta de Acesso. Para a criação de uma Conta de Acesso no Site, o Usuário deve preencher um cadastro, que pode variar de complexidade de acordo 
delupo.com.br;corp;text;direitos_evid;SIM;521;51071;Direitos das pessoas sobre os dados coletados A Delupo permite que o Usuário faça diferentes tipos de cadastro, contendo mais ou menos informações de acordo com
desenhosecolorir.com.br;corp;text;finalidade_evid;SIM;107;23144;O Desenhos&Colorir utiliza cookies para armazenar preferências de navegação e melhorar o desempenho do site.
diplan.com.br;corp;text;canal_evid;SIM;101;11685;Contato do encarregado (DPO) Para solicitações relacionadas aos seus dados: E-mail: suporte@diplan.com.br
diplan.com.br;corp;text;finalidade_evid;SIM;263;11685;Os dados coletados serão utilizados para: Identificação, autenticação e autorização Atender solicitações e prestar suporte aos USUÁRIOS Manter atualizados cadas
diplan.com.br;corp;text;direitos_evid;SIM;215;11685;Direitos do usuário: Requerer acesso aos dados, incluindo exibição e retificação Solicitar eliminação/exclusão dos dados pessoais Revogar consentimento para fut
diplan.com.br;corp;text;transf_evid;SIM;141;11685;Transferências internacionais: alguns provedores podem estar situados fora do Brasil. Nesses casos, adotamos salvaguardas compatíveis com a LGPD
divinosilva.com.br;corp;text;finalidade_evid;SIM;249;34296;Uso da informação Essas informações são utilizadas para cobrança e para fornecer serviços e suporte aos nossos clientes. Nós poderemos também estudar essas info
dreamcasa.com.br;corp;text;canal_evid;SIM;269;14391;5. Exercício de Direitos e Contato do Encarregado (DPO) O titular poderá exercer seus direitos ou tirar dúvidas relacionadas à privacidade de dados por meio do 
dreamcasa.com.br;corp;text;finalidade_evid;SIM;380;14391;"Finalidades do Tratamento Os dados pessoais são tratados para as seguintes finalidades: Permitir o uso pleno da plataforma e a veiculação de anúncios; Identific"
dreamcasa.com.br;corp;text;direitos_evid;SIM;331;14391;". Direitos dos Titulares Nos termos da LGPD, o titular dos dados tem direito a: Confirmação da existência de tratamento; Acesso aos dados pessoais tratados; Cor"
econodata.com.br;corp;text;canal_evid;SIM;536;22924;5. Contato sobre Dados Pessoais Esta Política de Privacidade fornece uma visão geral de nossas práticas de privacidade e das escolhas que você pode fazer, bem c
econodata.com.br;corp;text;finalidade_evid;SIM;196;22924;Estas informações são usadas unicamente para podermos oferecer uma experiência de uso das ferramentas e de atendimento por e-mail, chat e telefone adequadas aos
econodata.com.br;corp;text;direitos_evid;SIM;446;22924;"Direitos dos titulares de dados pessoais A qualquer momento, o titular pode requerer: Confirmação de que seus Dados Pessoais estão sendo tratados; Acesso aos se"
encurtador.com.br;corp;text;finalidade_evid;SIM;251;12874;Usamos suas informações pessoais para fornecer e melhorar nossos serviços, incluindo personalização de conteúdo e análise de dados. Nossa equipe pode entrar em 
evas.com.br;corp;text;finalidade_evid;SIM;149;11591;ados pessoais de endereçamento, pagamento e conteúdo do pedido, não serão utilizados para outros fins que não o de processamento dos pedidos realizados
faap.br;corp;text;canal_evid;SIM;405;58303;encarregado (DPO) pela proteção de dados pessoais, cuja é o responsável pelas orientações e atendimentos relacionados ao tema. Para entrar em contato: Para quai
faap.br;corp;text;finalidade_evid;SIM;608;58303;PARA OS SEGUINTES PROPÓSITOS GERAIS: (I) INFORMAR A RESPEITO DE SUAS ATIVIDADES, INCLUINDO EVENTOS, PEÇAS TEATRAIS E OFERTA DE CURSOS, POR CORREIO ELETRÔNICO MA
faap.br;corp;text;direitos_evid;SIM;577;58303;DOS DIREITOS DO TITULAR DOS DADOS PESSOAIS A Lei garantiu ao Usuário determinados direitos em relação às informações pessoais que estão sob a tutela da FAAP, em
faap.br;corp;text;transf_evid;SIM;281;58303;No caso de parceria com Universidades de outros países poderá ocorrer a transferência internacional dos dados pessoais, ficando ciente o aluno, deste tratamento
feltrimcorrea.com.br;corp;text;finalidade_evid;SIM;260;28515;as seguintes finalidades: Responder às suas solicitações de contato e realizar análise preliminar de demandas jurídicas Entrar em contato por telefone, WhatsApp
feltrimcorrea.com.br;corp;text;direitos_evid;SIM;415;28515;10. Seus direitos como titular dos dados Em conformidade com a LGPD, você tem os seguintes direitos: Confirmação da existência de tratamento Acesso aos dados qu
fieltorcedor.com.br;corp;text;canal_evid;SIM;86;114462;"Encarregado pelo
 Tratamento de Dados, Walter Calza Neto, e–mail: dpo@sccorinthians.com.br"
fieltorcedor.com.br;corp;text;finalidade_evid;SIM;105;114462;A biometria facial pode ser utilizada para segurança em eventos, controle de acesso e prevenção de fraudes.
fieltorcedor.com.br;corp;text;direitos_evid;SIM;164;114462;Direitos do titular Você tem direito de: Confirmar se seus dados estão sendo usados Acessar seus dados Corrigir dados incompletos ou desatualizados Solicitar an
fieltorcedor.com.br;corp;text;transf_evid;SIM;98;114462;A transferência internacional de dados ocorre apenas para países com proteção adequada ou mediante
flashapp.com.br;corp;text;canal_evid;SIM;267;182277;"Caso você tenha alguma questão específica sobre proteção de dados que ainda não tenha sido esclarecida 
por nossa Política de Privacidade, recomendamos que pree"
flashapp.com.br;corp;text;finalidade_evid;SIM;522;182277;"Contratação: viabilizar a prestação de serviços e/ou fornecimento de nossos produtos. 
Processo seletivo, contratação e demissão (Flash People)11: gerenciar o s"
flashapp.com.br;corp;text;direitos_evid;SIM;387;182277;"Confirmação e Acesso aos Dados 
Você poderá solicitar à FLASH a confirmação sobre a 
existência de tratamento dos seus dados para que, em 
caso positivo, você p"
flashapp.com.br;corp;text;transf_evid;SIM;164;182277;"É possível que alguns dos nossos sistemas estejam hospedados em servidores localizados em outros 
países, caracterizando transferência internacional de dados pe"
flashnetbrasil.com.br;corp;text;canal_evid;SIM;127;25844;osso encarregado ou DPO (Data Protection Officer) é Lucas de Albuquerque Antunes de Souza e seu email é dpo@flashnetbrasil.com.br.
flashnetbrasil.com.br;corp;text;finalidade_evid;SIM;547;25844;ARA QUE UTILIZAMOS OS DADOS COLETADOS? 4.1. O principal objetivo do porquê coletamos seus dados pessoais é para cumprir um contrato com você e lhe oferecer a me
flashnetbrasil.com.br;corp;text;direitos_evid;SIM;739;25844;"8.1.1. Acesso aos dados pessoais: permite que você tenha acesso aos seus dados pessoais através dos nossos canais de atendimento; 8.1.2. Retificação dos seus da"
flashnetbrasil.com.br;corp;text;transf_evid;SIM;392;25844;5.2. Os dados coletados serão armazenados em servidores próprios da Flash Net Brasil localizados no Brasil, bem como em ambiente de uso de recursos ou servidore
futebolpaulista.com.br;corp;text;canal_evid;SIM;47;44170;Encarregado pela Proteção de Dados, o escritório
futebolpaulista.com.br;corp;text;finalidade_evid;SIM;200;44170;"Por exemplo, no canal de integridade da FPF poderão ser solicitados alguns dados de contato 
e identificação para que seja possível entrar em contato e responde"
futebolpaulista.com.br;corp;text;direitos_evid;SIM;362;44170;"nos seguintes direitos:  
 
a) 
Confirmação da existência de tratamento;  
b) 
O acesso aos dados;  
c) 
A correção de dados incompletos, inexatos ou desatualiz"
futebolpaulista.com.br;corp;text;transf_evid;SIM;267;44170;"Empresas ou entes internacionais: apenas em hipóteses mencionadas na Lei 
Geral de Proteção de Dados, a FPF realizará o compartilhamento internacional dos 
dado"
glam.com.br;corp;text;canal_evid;SIM;345;184703;"Nós temos um Portal de Privacidade e um encarregado (Data Protection Officer – DPO) que está à disposição nos seguintes endereços de contato: (i) Clicando AQUI;"
glam.com.br;corp;text;finalidade_evid;SIM;697;184703;Criação de acesso/Login: os Dados Pessoais que coletarmos quando você cria sua inscrição serão usados para sua identificação e autenticação de uso em nossos ser
