site_id;estrato;origem;evidencia_arquivo;status;tem_canal_titular;forma:email_lgpd_controlador;forma:email_grupo_controlador;forma:email_generico_rotulado;forma:subpagina_canal_titular;forma:subpagina_encarregado;forma:telefone_encarregado;forma:formulario_direitos;forma:plataforma_externa_dsr;forma:outro;canal_incerto;finalidade;finalidade_incerto;direitos_titular;direitos_art18_I;direitos_art18_II;direitos_art18_III;direitos_art18_IV;direitos_art18_V;direitos_art18_VI;direitos_art18_VII;direitos_art18_VIII;direitos_art18_IX;direitos_count;direitos_incerto;transf_internacional;transf_subtipo;transf_art17_I;transf_art17_II;transf_art17_III;transf_art17_IV;transf_art17_V;transf_art17_VI;transf_count;transf_incerto;obs
assist.org.br;corp;b9;Rotulagem/evidencia_b9/assist.org.br.txt;text;1;1;;;1;;;1;;;nao;1;nao;1;1;1;1;1;1;;1;;1;7;nao;0;silencio;;;;;;;0;nao;
atakarejo.com.br;corp;b9;Rotulagem/evidencia_b9/atakarejo.com.br.txt;text;1;1;;;;1;;1;;;nao;1;nao;1;1;1;1;1;1;1;1;1;1;9;nao;0;negacao_explicita;;;;;;;0;nao;
atosoficiais.com.br;corp;b9;Rotulagem/evidencia_b9/atosoficiais.com.br.txt;NA;NA;;;;;;;;;;nao;NA;nao;NA;;;;;;;;;;0;nao;NA;;;;;;;;0;nao;Política capturada da cloudflare https://www.cloudflare.com/pt-br/privacypolicy/
atribuna.com.br;corp;b9;Rotulagem/evidencia_b9/atribuna.com.br.txt;text;1;;1;;;;;;;;nao;1;nao;1;1;1;1;1;1;;;1;1;7;nao;1;transferencia;;1;;;;;1;nao;
attackshark.net.br;corp;b9;Rotulagem/evidencia_b9/attackshark.net.br.txt;text;0;;;;;;;;;;sim;1;nao;1;;1;1;1;;;;;;3;nao;0;silencio;;;;;;;0;nao;
azzaparfums.com.br;corp;b9;Rotulagem/evidencia_b9/azzaparfums.com.br.txt;text;1;;;1;;;;;;;nao;1;nao;1;1;1;1;1;1;1;1;1;1;9;nao;1;transferencia;;;;;;;0;nao;
babaperto.com.br;corp;b9;Rotulagem/evidencia_b9/babaperto.com.br.txt;NA;NA;;;;;;;;;;nao;NA;nao;NA;;;;;;;;;;0;nao;NA;;;;;;;;0;nao;"Não coletamos, mas existe política na URL https://babaperto.com.br/content/tratamento-de-dados-pessoais/, que eu acessei através da cadeia de links ""Sobre a Empresa""->""Informações Legais""->""Política de Privacidade"""
banqi.com.br;corp;b9;Rotulagem/evidencia_b9/banqi.com.br.txt;NA;NA;;;;;;;;;;nao;NA;nao;NA;;;;;;;;;;0;nao;NA;;;;;;;;0;nao;A página foi redirecionada para https://www.casasbahiapay.com.br/, que tem Política de Privacidade
belenus.com.br;corp;b9;Rotulagem/evidencia_b9/belenus.com.br.txt;text;0;;;;;;;;;;nao;1;nao;1;1;1;1;1;1;1;1;1;1;9;nao;0;silencio;;;;;;;0;nao;
biascentroeducacional.com.br;corp;b9;Rotulagem/evidencia_b9/biascentroeducacional.com.br.txt;sem_politica;0;;;;;;;;;;nao;0;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
bigcupom.com.br;corp;b9;Rotulagem/evidencia_b9/bigcupom.com.br.txt;text;1;1;;;;;;;;;nao;1;nao;1;1;1;1;1;1;;;;1;6;nao;0;silencio;;;;;;;0;nao;
bilink.com.br;corp;b9;Rotulagem/evidencia_b9/bilink.com.br.txt;sem_politica;0;;;;;;;;;;nao;0;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
bimper.com.br;corp;b9;Rotulagem/evidencia_b9/bimper.com.br.txt;text;1;;;1;;;;;;;nao;1;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
blips.com.br;corp;b9;Rotulagem/evidencia_b9/blips.com.br.txt;text;1;;;1;;;;;;1;nao;1;nao;1;1;;1;1;1;;;;1;5;nao;0;silencio;;;;;;;0;nao;
boahost.srv.br;corp;b9;Rotulagem/evidencia_b9/boahost.srv.br.txt;NA;NA;;;;;;;;;;nao;NA;nao;NA;;;;;;;;;;0;nao;NA;;;;;;;;0;nao;Site em construção.
bradesco.com.br;corp;b9;Rotulagem/evidencia_b9/bradesco.com.br.txt;text;1;;;;;;;1;;;nao;1;nao;1;1;1;1;1;1;1;1;1;1;9;nao;0;silencio;;;;;;;0;sim;Navegação confusa no site. acordeão não expandido na captura. AS informaçòes que esperávamos estao em https://seguranca.bradesco/seguranca-informacao/lgpd.html
capnology.com.br;corp;b9;Rotulagem/evidencia_b9/capnology.com.br.txt;NA;NA;;;;;;;;;;nao;NA;nao;NA;;;;;;;;;;0;nao;NA;;;;;;;;0;nao;Site em construção.
casaplusloja.com.br;corp;b9;Rotulagem/evidencia_b9/casaplusloja.com.br.txt;NA;NA;;;;;;;;;;nao;NA;nao;NA;;;;;;;;;;0;nao;NA;;;;;;;;0;nao;Site não funcional
cashbarber.com.br;corp;b9;Rotulagem/evidencia_b9/cashbarber.com.br.txt;NA;NA;;;;;;;;;;nao;NA;nao;NA;;;;;;;;;;0;nao;NA;;;;;;;;0;nao;Site não funcional
caup.com.br;corp;b9;Rotulagem/evidencia_b9/caup.com.br.txt;sem_politica;0;;;;;;;;;;nao;0;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
ccfonline.com.br;corp;b9;Rotulagem/evidencia_b9/ccfonline.com.br.txt;sem_politica;0;;;;;;;;;;nao;0;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
celos.com.br;corp;b9;Rotulagem/evidencia_b9/celos.com.br.txt;text;1;1;;;;;;;;;nao;1;nao;1;1;1;1;1;1;1;1;1;;8;nao;1;transferencia;;;;;;;0;nao;
cenprotnacional.org.br;corp;b9;Rotulagem/evidencia_b9/cenprotnacional.org.br.txt;text;1;;1;;1;;;;;;nao;1;nao;1;1;1;1;1;1;1;;;1;7;nao;1;transferencia;;;;;;;0;nao;
certificacaotecnica.com.br;corp;b9;Rotulagem/evidencia_b9/certificacaotecnica.com.br.txt;NA;NA;;;;;;;;;;nao;NA;nao;NA;;;;;;;;;;0;nao;NA;;;;;;;;0;nao;A página é o login do sistema do site https://www.cpet.com.br/
cgdw.com.br;corp;b9;Rotulagem/evidencia_b9/cgdw.com.br.txt;text;1;;;1;;;;;;;nao;1;nao;1;1;;1;1;;;;;;3;nao;1;transferencia;;;;;;;0;nao;
cgn.inf.br;corp;b9;Rotulagem/evidencia_b9/cgn.inf.br.txt;sem_politica;0;;;;;;;;;;nao;0;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
coelhinhadobrasil.com.br;corp;b9;Rotulagem/evidencia_b9/coelhinhadobrasil.com.br.txt;text;0;;;;;;;;;;nao;1;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
comper.com.br;corp;b9;Rotulagem/evidencia_b9/comper.com.br.txt;text;1;;1;;;;;;1;1;nao;1;nao;1;1;;1;1;;;1;1;1;6;nao;1;transferencia;;1;;;;;1;nao;
computec.net.br;corp;b9;Rotulagem/evidencia_b9/computec.net.br.txt;sem_politica;0;;;;;;;;;;nao;0;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
condominiodedicado.com.br;corp;b9;Rotulagem/evidencia_b9/condominiodedicado.com.br.txt;text;1;;;1;;;;;;;nao;1;nao;1;1;1;1;1;1;1;1;;1;8;nao;0;silencio;;;;;;;0;nao;
confiance.com.br;corp;b9;Rotulagem/evidencia_b9/confiance.com.br.txt;text;1;;;;;;;;1;;nao;1;nao;1;;;;1;1;1;;;;3;nao;0;silencio;;;;;;;0;sim;Dentro do portal de privacidade, havia um link mais a fundo, do aviso de privacidade mais completo em https://privacyportal.onetrust.com/policies/5b28020c-cb42-41dd-b61e-f2604109f516?context=eyJkc1BvcnRhbElkIjoiMGFjZGE4ODgtNDNlZS00OTdjLTk4MmQtMTExMmE2Y2ZhM2NkIn0%3D, que tinha informações sobre transferência internacional e os demais direitos
consyste.com.br;corp;b9;Rotulagem/evidencia_b9/consyste.com.br.txt;sem_politica;0;;;;;;;;;;nao;0;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
cooperacoop.com.br;corp;b9;Rotulagem/evidencia_b9/cooperacoop.com.br.txt;sem_politica;0;;;;;;;;;;nao;0;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;A subpágina encontrada são apenas placeholders que não estão em produção
correspondentedinamico.com.br;corp;b9;Rotulagem/evidencia_b9/correspondentedinamico.com.br.txt;text;0;;;;;;;;;;sim;1;nao;1;;1;1;1;1;;;;1;5;nao;0;silencio;;;;;;;0;nao;
costaricacolchoes.com.br;corp;b9;Rotulagem/evidencia_b9/costaricacolchoes.com.br.txt;text;0;;;;;;;;;;nao;1;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
cpc.org.br;corp;b9;Rotulagem/evidencia_b9/cpc.org.br.txt;sem_politica;0;;;;;;;;;;nao;0;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
cplug.com.br;corp;b9;Rotulagem/evidencia_b9/cplug.com.br.txt;text;1;;1;;;;;;;;nao;1;nao;1;1;1;1;1;1;1;1;;1;8;nao;1;transferencia;;;;;;;0;nao;
credlineitau.com.br;corp;b9;Rotulagem/evidencia_b9/credlineitau.com.br.txt;NA;NA;;;;;;;;;;nao;NA;nao;NA;;;;;;;;;;0;nao;NA;;;;;;;;0;nao;Página de login de aplicação. Sem conteúdo
css-sistemas.com.br;corp;b9;Rotulagem/evidencia_b9/css-sistemas.com.br.txt;NA;NA;;;;;;;;;;nao;NA;nao;NA;;;;;;;;;;0;nao;NA;;;;;;;;0;nao;Site ainda indisponível
cupomverde.com.br;corp;b9;Rotulagem/evidencia_b9/cupomverde.com.br.txt;text;1;1;;;;;;;;;nao;1;nao;1;1;1;1;1;1;1;1;1;1;9;nao;1;transferencia;;1;;;;;1;nao;
curriculointerativo.com.br;corp;b9;Rotulagem/evidencia_b9/curriculointerativo.com.br.txt;text;1;0;;;;;;1;;;sim;0;sim;1;1;1;1;1;1;1;1;1;1;9;nao;0;silencio;;;;;;;0;sim;A coleta não expandiu adequadamente a subpagina /privacidade/politica-de-privacidade, e perdeu a maioria das informações relevantes, incluindo as finalidades, transferência internacional e o email do DPO
cursosfr.com.br;corp;b9;Rotulagem/evidencia_b9/cursosfr.com.br.txt;NA;NA;;;;;;;;;;nao;NA;nao;NA;;;;;;;;;;0;nao;NA;;;;;;;;0;nao;A subpágina da política é um php, que não renderizou
cursosheliocouto.com.br;corp;b9;Rotulagem/evidencia_b9/cursosheliocouto.com.br.txt;text;1;;1;;;;;;;;nao;1;nao;1;1;1;1;1;1;1;1;1;1;9;nao;0;silencio;;;;;;;0;nao;
cursosnfp.com.br;corp;b9;Rotulagem/evidencia_b9/cursosnfp.com.br.txt;NA;NA;;;;;;;;;;nao;NA;nao;NA;;;;;;;;;;0;nao;NA;;;;;;;;0;nao;A subpágina da política é um php, que não renderizou
datacaixa.com.br;corp;b9;Rotulagem/evidencia_b9/datacaixa.com.br.txt;text;1;;;1;;;;;;1;nao;1;nao;1;1;1;1;1;1;1;1;1;1;9;nao;0;silencio;;;;;;;0;nao;
delupo.com.br;corp;b9;Rotulagem/evidencia_b9/delupo.com.br.txt;text;0;;;;;;;;;;nao;1;nao;1;;;1;;;;;;;1;nao;0;silencio;;;;;;;0;nao;
desenhosecolorir.com.br;corp;b9;Rotulagem/evidencia_b9/desenhosecolorir.com.br.txt;text;0;;;;;;;;;;nao;1;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
desenvolvimentodesites.art.br;corp;b9;Rotulagem/evidencia_b9/desenvolvimentodesites.art.br.txt;NA;NA;;;;;;;;;;nao;NA;nao;NA;;;;;;;;;;0;nao;NA;;;;;;;;0;nao;A coleta não expandiu adequadamente a subpagina /privacidade, o que fez com que a evidência não tenha as informações corretas
dhnet.org.br;corp;b9;Rotulagem/evidencia_b9/dhnet.org.br.txt;sem_politica;0;;;;;;;;;;nao;0;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
dia.com.br;corp;b9;Rotulagem/evidencia_b9/dia.com.br.txt;NA;NA;;;;;;;;;;nao;NA;nao;NA;;;;;;;;;;0;nao;NA;silencio;;;;;;;0;nao;A política correta estava disponível em um nível adicional de profundidade, em https://www.dia.com.br/politicas-corporativas-protecao-de-dados
diariodecuiaba.com.br;corp;b9;Rotulagem/evidencia_b9/diariodecuiaba.com.br.txt;NA;NA;;;;;;;;;;nao;NA;nao;NA;;;;;;;;;;0;nao;NA;;;;;;;;0;nao;Bloqueado pelo cloudlare
digifred.net.br;corp;b9;Rotulagem/evidencia_b9/digifred.net.br.txt;NA;NA;;;;;;;;;;nao;NA;nao;NA;;;;;;;;;;0;nao;NA;;;;;;;;0;nao;Falhou com status 500
diplan.com.br;corp;b9;Rotulagem/evidencia_b9/diplan.com.br.txt;text;1;;;1;;;;;;;nao;1;nao;1;;1;1;1;1;;;;1;5;nao;1;transferencia;;;;;;;0;nao;
distribuidoraedwiges.com.br;corp;b9;Rotulagem/evidencia_b9/distribuidoraedwiges.com.br.txt;sem_politica;0;;;;;;;;;;nao;0;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
divinosilva.com.br;corp;b9;Rotulagem/evidencia_b9/divinosilva.com.br.txt;text;0;;;;;;;;;;nao;1;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
dmcardweb.com.br;corp;b9;Rotulagem/evidencia_b9/dmcardweb.com.br.txt;sem_politica;0;;;;;;;;;;nao;0;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
donacharme.com.br;corp;b9;Rotulagem/evidencia_b9/donacharme.com.br.txt;text;0;;;;;;;;;;nao;0;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
dreamcasa.com.br;corp;b9;Rotulagem/evidencia_b9/dreamcasa.com.br.txt;text;1;;;1;;;;;;;nao;1;nao;1;1;1;1;1;1;;1;;1;7;nao;0;silencio;;;;;;;0;nao;
eadunifatecie.com.br;corp;b9;Rotulagem/evidencia_b9/eadunifatecie.com.br.txt;NA;NA;;;;;;;;;;nao;NA;nao;NA;;;;;;;;;;0;nao;NA;;;;;;;;0;nao;Página de login de aplicação. Sem conteúdo
econodata.com.br;corp;b9;Rotulagem/evidencia_b9/econodata.com.br.txt;text;1;1;;;;;;;;;nao;1;nao;1;1;1;1;1;;1;1;1;1;8;nao;0;silencio;;;;;;;0;nao;
edicoescnbb.com.br;corp;b9;Rotulagem/evidencia_b9/edicoescnbb.com.br.txt;NA;NA;;;;;;;;;;;NA;;NA;;;;;;;;;;0;;NA;;;;;;;;0;;Foi detectada corretamente a política do grupo, no link externo https://www.cnbb.org.br/termo-de-privacidade-cnbb/, mas o conteúdo não está na evidência. O que tem na evidência são os conteúdos de outras políticas.
encurtador.com.br;corp;b9;Rotulagem/evidencia_b9/encurtador.com.br.txt;text;0;;;;;;;;;;nao;1;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
essemundoenosso.com.br;corp;b9;Rotulagem/evidencia_b9/essemundoenosso.com.br.txt;NA;NA;;;;;;;;;;;NA;;NA;;;;;;;;;;0;;NA;;;;;;;;0;;A subpágina https://www.essemundoenosso.com.br/politica-de-privacidade/ não foi detectada
evas.com.br;corp;b9;Rotulagem/evidencia_b9/evas.com.br.txt;text;0;;;;;;;;;;nao;1;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
faap.br;corp;b9;Rotulagem/evidencia_b9/faap.br.txt;text;1;1;;;;;;1;;1;nao;1;nao;1;1;1;1;1;1;1;1;1;1;9;nao;1;transferencia;;;;;;;0;nao;
fasa.edu.br;corp;b9;Rotulagem/evidencia_b9/fasa.edu.br.txt;NA;NA;;;;;;;;;;;NA;;NA;;;;;;;;;;0;;NA;;;;;;;;0;;Erro 404 ao acessar a página
fcf.com.br;corp;b9;Rotulagem/evidencia_b9/fcf.com.br.txt;sem_politica;0;;;;;;;;;;nao;0;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;Verificado ao vivo: site sem política de privacidade. Subpágina capturada (///arbitragem/) é falso-positivo da descoberta, não é política
feltrimcorrea.com.br;corp;b9;Rotulagem/evidencia_b9/feltrimcorrea.com.br.txt;text;0;;;;;;;;;;nao;1;nao;1;1;1;1;1;1;1;1;;1;8;nao;0;silencio;;;;;;;0;nao;
fieltorcedor.com.br;corp;b9;Rotulagem/evidencia_b9/fieltorcedor.com.br.txt;text;1;;1;;;;;;;;nao;1;nao;1;1;1;1;1;1;;1;;1;7;nao;1;transferencia;;;;;;;0;nao;Existe uma versão detalhada da política, um nível mais profundo, em https://www.corinthians.com.br/clube/transparencia/protecao-de-dados/politica
filmesporno.com.br;corp;b9;Rotulagem/evidencia_b9/filmesporno.com.br.txt;sem_politica;0;;;;;;;;;;nao;0;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;Verificado ao vivo: site sem política de privacidade. Subpágina capturada (/debora-peixoto-pelada-em-video-de-sexo-do-privacy/) é falso-positivo da descoberta, não é política
firstapps.com.br;corp;b9;Rotulagem/evidencia_b9/firstapps.com.br.txt;NA;NA;;;;;;;;;;;NA;;NA;;;;;;;;;;0;;NA;;;;;;;;0;;Página de login de site
fisco.net.br;corp;b9;Rotulagem/evidencia_b9/fisco.net.br.txt;sem_politica;0;;;;;;;;;;nao;0;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;O link para a sub-página leva apenas para um formulário de contato
flashapp.com.br;corp;b9;Rotulagem/evidencia_b9/flashapp.com.br.txt;text;1;;;;;;;1;;;nao;1;nao;1;1;1;1;1;1;;1;1;1;8;nao;1;transferencia;;;;;;;0;nao;A política estava um nível mais profundo na estrutura, em https://flashapp.com.br/hubfs/Pol%C3%ADtica%20de%20privacidade/Pol%C3%ADtica%20de%20Privacidade%20-%20V8.0%20(Uso%20P%C3%BAblico).pdf
flashnetbrasil.com.br;corp;b9;Rotulagem/evidencia_b9/flashnetbrasil.com.br.txt;text;1;1;;;;;;;;;nao;1;nao;1;;1;1;1;1;1;1;1;1;8;nao;1;transferencia;;;;;;;0;nao;
foodzap.com.br;corp;b9;Rotulagem/evidencia_b9/foodzap.com.br.txt;sem_politica;0;;;;;;;;;;nao;0;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
forbes.com.br;corp;b9;Rotulagem/evidencia_b9/forbes.com.br.txt;NA;NA;;;;;;;;;;;NA;;NA;;;;;;;;;;0;;NA;;;;;;;;0;;A política fica embedded em um iframe, dentro da subpagina https://forbes.com.br/politica-de-privacidade-e-seguranca/
futebolpaulista.com.br;corp;b9;Rotulagem/evidencia_b9/futebolpaulista.com.br.txt;text;1;;1;;;;;;;;nao;1;nao;1;1;1;1;1;1;1;1;1;1;9;nao;1;transferencia;;;;;;;0;nao;
gbtls.com.br;corp;b9;Rotulagem/evidencia_b9/gbtls.com.br.txt;sem_politica;0;;;;;;;;;;nao;0;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
gilix.com.br;corp;b9;Rotulagem/evidencia_b9/gilix.com.br.txt;sem_politica;0;;;;;;;;;;nao;0;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
glam.com.br;corp;b9;Rotulagem/evidencia_b9/glam.com.br.txt;text;1;;;;;;;1;;1;nao;1;nao;1;1;1;1;1;1;;1;1;1;8;nao;1;transferencia;;;;;;;0;nao;
go7.dev.br;corp;b9;Rotulagem/evidencia_b9/go7.dev.br.txt;NA;NA;;;;;;;;;;;NA;;NA;;;;;;;;;;0;;NA;;;;;;;;0;;página vazia
gobrax.com.br;corp;b9;Rotulagem/evidencia_b9/gobrax.com.br.txt;text;0;;;;;;;;;;nao;1;nao;1;1;;1;1;;;;;;3;nao;1;transferencia;;;;;;;0;nao;
gocache.com.br;corp;b9;Rotulagem/evidencia_b9/gocache.com.br.txt;text;1;1;;;;;;;;;nao;1;nao;0;;;;;;;;;;0;nao;1;transferencia;;;;;;;0;nao;
goodyear.com.br;corp;b9;Rotulagem/evidencia_b9/goodyear.com.br.txt;text;1;;1;;;;;;;;nao;1;nao;1;1;1;1;1;1;;;;1;6;nao;1;transferencia;;;;;;;0;nao;
goomer.com.br;corp;b9;Rotulagem/evidencia_b9/goomer.com.br.txt;text;1;1;;;;;;;;;nao;0;sim;1;;;;1;;;;;;1;nao;0;silencio;;;;;;;0;nao;Não consegui identificar finalidades específicas, apenas genéricas
hachi8.com.br;corp;b9;Rotulagem/evidencia_b9/hachi8.com.br.txt;text;1;;;1;;;;;;;nao;0;nao;1;1;1;1;1;;;;;;4;nao;0;silencio;;;;;;;0;nao;
hcpneus.com.br;corp;b9;Rotulagem/evidencia_b9/hcpneus.com.br.txt;text;1;;;1;;;;;;;sim;0;nao;1;;;1;1;;;;;;2;nao;0;silencio;;;;;;;0;nao;
hdi.com.br;corp;b9;Rotulagem/evidencia_b9/hdi.com.br.txt;NA;NA;;;;;;;;;;;NA;;NA;;;;;;;;;;0;;NA;;;;;;;;0;;Site bloqueado, provavelmente contra acesso de robos. O site real tinha a política
iclin.med.br;corp;b9;Rotulagem/evidencia_b9/iclin.med.br.txt;text;0;;;;;;;;;;nao;1;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;Tinha mais uma subpagina que não foi capturada, e que tinha mais dados https://iclin.med.br/iclin/login/politicap.php
ideau.com.br;corp;b9;Rotulagem/evidencia_b9/ideau.com.br.txt;text;0;;;;;;;;;;nao;1;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
ifractal.com.br;corp;b9;Rotulagem/evidencia_b9/ifractal.com.br.txt;NA;NA;;;;;;;;;;;NA;;NA;;;;;;;;;;0;;NA;;;;;;;;0;;A subpagina identificada contem a política, maso conteúdo não foi capturado https://ifractal.com.br/politica-de-privacidade/
imobiliariaato.com.br;corp;b9;Rotulagem/evidencia_b9/imobiliariaato.com.br.txt;sem_politica;0;;;;;;;;;;nao;0;nao;0;;;;;;;;;;0;nao;0;silencio;;;;;;;0;nao;
info-bras.net.br;corp;b9;Rotulagem/evidencia_b9/info-bras.net.br.txt;text;0;;;;;;;;;;nao;1;nao;1;;;;;;;;;1;1;nao;0;;;;;;;;0;nao;
